date,team_tag,player_name,metric,period,value
2026-07-26,LVH,rikka,followers,current,13593
2026-07-26,LVH,rikka,stream_duration,apr_late_2026,50.5
2026-07-26,LVH,rikka,stream_duration,jul_early_2026,8.0
2026-07-26,LVH,rikka,stream_duration,jul_late_2026,19.1
2026-07-26,LVH,rikka,stream_duration,jun_early_2026,32.2
2026-07-26,LVH,rikka,stream_duration,jun_late_2026,33.0
2026-07-26,LVH,rikka,stream_duration,may_early_2026,39.5
2026-07-26,LVH,rikka,stream_duration,may_late_2026,7.5
2026-07-26,LVH,rikka,stream_duration,regular_season,19.1
2026-07-26,LVH,rikka,video_upload_count,apr_late_2026,0
2026-07-26,LVH,rikka,video_upload_count,jul_early_2026,0
2026-07-26,LVH,rikka,video_upload_count,jul_late_2026,0
2026-07-26,LVH,rikka,video_upload_count,jun_early_2026,0
2026-07-26,LVH,rikka,video_upload_count,jun_late_2026,0
2026-07-26,LVH,rikka,video_upload_count,may_early_2026,0
2026-07-26,LVH,rikka,video_upload_count,may_late_2026,0
2026-07-26,LVH,rikka,video_upload_count,regular_season,0
2026-07-26,LVH,rikka,video_view_count,jul_early_2026,0
2026-07-26,LVH,rikka,video_view_count,jul_late_2026,0
2026-07-26,LVH,rikka,video_view_count,jun_early_2026,0
2026-07-26,LVH,rikka,video_view_count,jun_late_2026,0
2026-07-26,LVH,rikka,video_view_count,may_early_2026,0
2026-07-26,LVH,rikka,video_view_count,may_late_2026,0
2026-07-26,LVH,rikka,video_view_count,regular_season,0
2026-07-26,LVH,rikka,watch_time,jul_early_2026,3688
2026-07-26,LVH,rikka,watch_time,jul_late_2026,18976
2026-07-26,LVH,rikka,watch_time,jun_early_2026,13078
2026-07-26,LVH,rikka,watch_time,jun_late_2026,16924
2026-07-26,LVH,rikka,watch_time,may_early_2026,28442
2026-07-26,LVH,rikka,watch_time,may_late_2026,2528
2026-07-26,LVH,rikka,watch_time,regular_season,18976
2026-07-26,LVH,rikka,youtube_subscribers,current,12400
2026-07-26,LVH,だーよね,followers,current,3164
2026-07-26,LVH,だーよね,stream_duration,apr_late_2026,5.6
2026-07-26,LVH,だーよね,stream_duration,jul_early_2026,4.3
2026-07-26,LVH,だーよね,stream_duration,jul_late_2026,12.0
2026-07-26,LVH,だーよね,stream_duration,jun_early_2026,11.2
2026-07-26,LVH,だーよね,stream_duration,jun_late_2026,9.2
2026-07-26,LVH,だーよね,stream_duration,may_early_2026,18.7
2026-07-26,LVH,だーよね,stream_duration,may_late_2026,17.3
2026-07-26,LVH,だーよね,stream_duration,regular_season,12.0
2026-07-26,LVH,だーよね,video_upload_count,apr_late_2026,0
2026-07-26,LVH,だーよね,video_upload_count,jul_early_2026,0
2026-07-26,LVH,だーよね,video_upload_count,jul_late_2026,0
2026-07-26,LVH,だーよね,video_upload_count,jun_early_2026,0
2026-07-26,LVH,だーよね,video_upload_count,jun_late_2026,0
2026-07-26,LVH,だーよね,video_upload_count,may_early_2026,0
2026-07-26,LVH,だーよね,video_upload_count,may_late_2026,0
2026-07-26,LVH,だーよね,video_upload_count,regular_season,0
2026-07-26,LVH,だーよね,video_view_count,jul_early_2026,0
2026-07-26,LVH,だーよね,video_view_count,jul_late_2026,0
2026-07-26,LVH,だーよね,video_view_count,jun_early_2026,0
2026-07-26,LVH,だーよね,video_view_count,jun_late_2026,0
2026-07-26,LVH,だーよね,video_view_count,may_early_2026,0
2026-07-26,LVH,だーよね,video_view_count,may_late_2026,0
2026-07-26,LVH,だーよね,video_view_count,regular_season,0
2026-07-26,LVH,だーよね,watch_time,jul_early_2026,546
2026-07-26,LVH,だーよね,watch_time,jul_late_2026,1776
2026-07-26,LVH,だーよね,watch_time,jun_early_2026,866
2026-07-26,LVH,だーよね,watch_time,jun_late_2026,1013
2026-07-26,LVH,だーよね,watch_time,may_early_2026,2621
2026-07-26,LVH,だーよね,watch_time,may_late_2026,1566
2026-07-26,LVH,だーよね,watch_time,regular_season,1776
2026-07-26,LVH,だーよね,youtube_subscribers,current,1520
2026-07-26,LVH,智念せいら,followers,current,15401
2026-07-26,LVH,智念せいら,stream_duration,jul_early_2026,19.6
2026-07-26,LVH,智念せいら,stream_duration,jul_late_2026,17.9
2026-07-26,LVH,智念せいら,stream_duration,jun_late_2026,17.6
2026-07-26,LVH,智念せいら,stream_duration,regular_season,25.1
2026-07-26,LVH,智念せいら,video_upload_count,jul_early_2026,9
2026-07-26,LVH,智念せいら,video_upload_count,jul_late_2026,2
2026-07-26,LVH,智念せいら,video_upload_count,jun_late_2026,6
2026-07-26,LVH,智念せいら,video_upload_count,regular_season,7
2026-07-26,LVH,智念せいら,video_view_count,jul_early_2026,617975
2026-07-26,LVH,智念せいら,video_view_count,jul_late_2026,148648
2026-07-26,LVH,智念せいら,video_view_count,regular_season,545964
2026-07-26,LVH,智念せいら,watch_time,jul_early_2026,30693
2026-07-26,LVH,智念せいら,watch_time,jul_late_2026,21827
2026-07-26,LVH,智念せいら,watch_time,regular_season,29932
2026-07-26,LVH,智念せいら,youtube_subscribers,current,60700
2026-07-26,MRG,Spicies,followers,current,32845
2026-07-26,MRG,Spicies,stream_duration,apr_late_2026,97.2
2026-07-26,MRG,Spicies,stream_duration,jul_early_2026,22.0
2026-07-26,MRG,Spicies,stream_duration,jul_late_2026,17.7
2026-07-26,MRG,Spicies,stream_duration,jun_early_2026,84.2
2026-07-26,MRG,Spicies,stream_duration,jun_late_2026,55.6
2026-07-26,MRG,Spicies,stream_duration,may_early_2026,40.3
2026-07-26,MRG,Spicies,stream_duration,may_late_2026,52.1
2026-07-26,MRG,Spicies,stream_duration,regular_season,27.0
2026-07-26,MRG,Spicies,video_upload_count,apr_late_2026,12
2026-07-26,MRG,Spicies,video_upload_count,jul_early_2026,2
2026-07-26,MRG,Spicies,video_upload_count,jul_late_2026,1
2026-07-26,MRG,Spicies,video_upload_count,jun_early_2026,3
2026-07-26,MRG,Spicies,video_upload_count,jun_late_2026,4
2026-07-26,MRG,Spicies,video_upload_count,may_early_2026,6
2026-07-26,MRG,Spicies,video_upload_count,may_late_2026,5
2026-07-26,MRG,Spicies,video_upload_count,regular_season,2
2026-07-26,MRG,Spicies,video_view_count,jul_early_2026,54296
2026-07-26,MRG,Spicies,video_view_count,jul_late_2026,0
2026-07-26,MRG,Spicies,video_view_count,jun_early_2026,44105
2026-07-26,MRG,Spicies,video_view_count,jun_late_2026,103158
2026-07-26,MRG,Spicies,video_view_count,may_early_2026,167728
2026-07-26,MRG,Spicies,video_view_count,may_late_2026,96387
2026-07-26,MRG,Spicies,video_view_count,regular_season,23230
2026-07-26,MRG,Spicies,watch_time,jul_early_2026,47762
2026-07-26,MRG,Spicies,watch_time,jul_late_2026,25586
2026-07-26,MRG,Spicies,watch_time,jun_early_2026,105722
2026-07-26,MRG,Spicies,watch_time,jun_late_2026,122304
2026-07-26,MRG,Spicies,watch_time,may_early_2026,99977
2026-07-26,MRG,Spicies,watch_time,may_late_2026,89154
2026-07-26,MRG,Spicies,watch_time,regular_season,48161
2026-07-26,MRG,Spicies,youtube_subscribers,current,42100
2026-07-26,MRG,Toby,followers,current,18829
2026-07-26,MRG,Toby,stream_duration,apr_late_2026,39.2
2026-07-26,MRG,Toby,stream_duration,jul_early_2026,12.6
2026-07-26,MRG,Toby,stream_duration,jul_late_2026,2.4
2026-07-26,MRG,Toby,stream_duration,jun_early_2026,6.3
2026-07-26,MRG,Toby,stream_duration,jun_late_2026,32.7
2026-07-26,MRG,Toby,stream_duration,may_early_2026,18.5
2026-07-26,MRG,Toby,stream_duration,may_late_2026,25.8
2026-07-26,MRG,Toby,stream_duration,regular_season,7.3
2026-07-26,MRG,Toby,video_upload_count,apr_late_2026,0
2026-07-26,MRG,Toby,video_upload_count,jul_early_2026,0
2026-07-26,MRG,Toby,video_upload_count,jul_late_2026,0
2026-07-26,MRG,Toby,video_upload_count,jun_early_2026,0
2026-07-26,MRG,Toby,video_upload_count,jun_late_2026,2
2026-07-26,MRG,Toby,video_upload_count,may_early_2026,0
2026-07-26,MRG,Toby,video_upload_count,may_late_2026,0
2026-07-26,MRG,Toby,video_upload_count,regular_season,0
2026-07-26,MRG,Toby,video_view_count,jul_early_2026,0
2026-07-26,MRG,Toby,video_view_count,jul_late_2026,0
2026-07-26,MRG,Toby,video_view_count,jun_early_2026,0
2026-07-26,MRG,Toby,video_view_count,jun_late_2026,14358
2026-07-26,MRG,Toby,video_view_count,may_early_2026,0
2026-07-26,MRG,Toby,video_view_count,may_late_2026,0
2026-07-26,MRG,Toby,video_view_count,regular_season,0
2026-07-26,MRG,Toby,watch_time,jul_early_2026,19385
2026-07-26,MRG,Toby,watch_time,jul_late_2026,3958
